id,judul,isi,kategori,input_text,urgency,intent,location,object,sentiment,summary
6274603,Jalur Pejalan Kaki Pemalang,"Ini jalan pedestrian berlubang, mau nyebrang zebra cross aja dihalangin sama banner segede gaban, eh samping banner dipagar. emang indah si ini. lokasi persis di tugu sirandu. oh sama ini kenapa mobil plat merah parkir disini ya? wkwkwk",Infrastruktur,"Judul: Jalur Pejalan Kaki Pemalang
Laporan: Ini jalan pedestrian berlubang, mau nyebrang zebra cross aja dihalangin sama banner segede gaban, eh samping banner dipagar. emang indah si ini. lokasi persis di tugu sirandu. oh sama ini kenapa mobil plat merah parkir disini ya? wkwkwk",medium,complaint,tugu sirandu,jalan pedestrian berlubang dan banner besar,negatif,Jalur pejalan kaki di tugu sirandu rusak dan dihalangi banner
6281893,Tunjangan Sertifikasi Tidak Dibayar Operator Simbar Kabupaten Ketapang Provinsi Kalimantan Barat,Tunjangan sertifikasi triwulan 4 tidak dibayar operator simbar kabupaten ketapang provinsi kalimantan barat,Sosial,"Judul: Tunjangan Sertifikasi Tidak Dibayar Operator Simbar Kabupaten Ketapang Provinsi Kalimantan Barat
Laporan: Tunjangan sertifikasi triwulan 4 tidak dibayar operator simbar kabupaten ketapang provinsi kalimantan barat",medium,complaint,"Kabupaten Ketapang, Provinsi Kalimantan Barat",Tunjangan sertifikasi operator SIMBAR,negatif,Operator SIMBAR tidak dibayarkan tunjangan sertifikasi
6284362,Pegajuan Reaktivasi Bpjs,"Slamat malam..kpda petugas dinas sosial banyuasin.saya minta tolong agar bpjs pbi anak saya di aktifkan lagi.karna anak saya sangat membutuh kan nya.utuk dari itu mohon nik anak saya di masukan ke dtks,agar anak saya bisa mnerima bantuan pbi apbn lagi.",Sosial,"Judul: Pegajuan Reaktivasi Bpjs
Laporan: Slamat malam..kpda petugas dinas sosial banyuasin.saya minta tolong agar bpjs pbi anak saya di aktifkan lagi.karna anak saya sangat membutuh kan nya.utuk dari itu mohon nik anak saya di masukan ke dtks,agar anak saya bisa mnerima bantuan pbi apbn lagi.",medium,suggestion,,Pegajuan reaktivasi BPJS anak,positif,Minta aktivasi BPJS anak untuk bantuan pbi
6287125,Aduan Atas Seleksi Pppk Pemerintah Kab. Brebes Tahun 2022,"Assalamualaikumaduan atas hasil seleksi administrasi dan kompetensi pppk nakes 2022 di pemerintah kab.brebessaya :miftachus sidiqprofesi : perawatinstansi : pemerintah kab.brebesakan melakukan aduan atas hasil seleksi kompetensi pppk nakes 2022 di pemerintah kab. brebes.kepada : nama : sayidinano. peserta :2264084110000083instansi : pemerintah kab. brebespenempatan : puskesmas losarikenapa untuk afirmasi usia 35th (25 ) diterima , padahal yang bersangkutan tidak menupload sk kerja 3th berturut turut. padahal menurut peraturan sekertariat daerah.. no. s 9314 810 xi 2022, apbla pelamar tidak mengunggah sk kerja 3 th terakhir pada waktu yang di tetapkan maka di nyatakan tms, dan menurut perdirjen no. hk.01.03 f 2446 2022 hal tsb tidak valid, sehingga afirmasi 25 tidak sah. mohon untuk di koreksi kembali apakah yang bersangkutan sudah benar.berikut beberapa bukti kutipan dari aturan yang ada atas aduan tersebut : ada di lampiran",Kesehatan,"Judul: Aduan Atas Seleksi Pppk Pemerintah Kab. Brebes Tahun 2022
Laporan: Assalamualaikumaduan atas hasil seleksi administrasi dan kompetensi pppk nakes 2022 di pemerintah kab.brebessaya :miftachus sidiqprofesi : perawatinstansi : pemerintah kab.brebesakan melakukan aduan atas hasil seleksi kompetensi pppk nakes 2022 di pemerintah kab. brebes.kepada : nama : sayidinano. peserta :2264084110000083instansi : pemerintah kab. brebespenempatan : puskesmas losarikenapa untuk afirmasi usia 35th (25 ) diterima , padahal yang bersangkutan tidak menupload sk kerja 3th berturut turut. padahal menurut peraturan sekertariat daerah.. no. s 9314 810 xi 2022, apbla pelamar tidak mengunggah sk kerja 3 th terakhir pada waktu yang di tetapkan maka di nyatakan tms, dan menurut perdirjen no. hk.01.03 f 2446 2022 hal tsb tidak valid, sehingga afirmasi 25 tidak sah. mohon untuk di koreksi kembali apakah yang bersangkutan sudah benar.berikut beberapa bukti kutipan dari aturan yang ada atas aduan tersebut : ada di lampiran",medium,complaint,Pemerintah Kab. Brebes,Seleksi PPPK Nakes 2022,negatif,Pelamar usia 35 tahun diterima tanpa SK kerja 3 tahun.
6290644,Jalan Ps Kemis Macet Setiap Jam Pulang Pergi Kantor,"Kepada pemkab kab tangerang,mohon kiranya dapat berkordinasi dengan developer suvarna sutera kab tangerang, mengingat kondisi jalan di depan pintu gerbang suvarna sangat crowded pada jam pergi dan pulang kantor, hal ini disebabkan mengingat sudah padatnya perumahan tsb yang rata2 penghuninya menggunakan mobil dan membutuhkan akses tol, sementara utk mengakses tol para penghuni tersebut butuh 2 kali menyebrang jalan jl raya pasar kemis, sehingga mau tidak mau arah berlawanan dari jl tersebut tersendat dan juga akses keluar perumahan tersebut menjadi tidak lancar karena menunggu antrian menyebrang.usul saya, mohon dikordinasikan dengan pengembang ditekankan dan dibantu prosesnya untuk akses langsung pembuatan pintu tol secara langsung secepatnya, karena jika mengacu pada site plan jika saya tidak salah ingat , pada siteplan akan ada akses pintu tol di bundaran lavon 1 ke tol tangerang merak.kiranya usulan ini dapat di tindak lanjuti secepatnya karena mengingat kondisi macet semakin parah dan menganggu warga pasar kemis baik dalam perumahan dan di luar perumahan. terima kasih",Infrastruktur,"Judul: Jalan Ps Kemis Macet Setiap Jam Pulang Pergi Kantor
Laporan: Kepada pemkab kab tangerang,mohon kiranya dapat berkordinasi dengan developer suvarna sutera kab tangerang, mengingat kondisi jalan di depan pintu gerbang suvarna sangat crowded pada jam pergi dan pulang kantor, hal ini disebabkan mengingat sudah padatnya perumahan tsb yang rata2 penghuninya menggunakan mobil dan membutuhkan akses tol, sementara utk mengakses tol para penghuni tersebut butuh 2 kali menyebrang jalan jl raya pasar kemis, sehingga mau tidak mau arah berlawanan dari jl tersebut tersendat dan juga akses keluar perumahan tersebut menjadi tidak lancar karena menunggu antrian menyebrang.usul saya, mohon dikordinasikan dengan pengembang ditekankan dan dibantu prosesnya untuk akses langsung pembuatan pintu tol secara langsung secepatnya, karena jika mengacu pada site plan jika saya tidak salah ingat , pada siteplan akan ada akses pintu tol di bundaran lavon 1 ke tol tangerang merak.kiranya usulan ini dapat di tindak lanjuti secepatnya karena mengingat kondisi macet semakin parah dan menganggu warga pasar kemis baik dalam perumahan dan di luar perumahan. terima kasih",medium,suggestion,"jl raya pasar kemis, suvarna sutera, kab tangerang",macet jalan,netral,"Laporan macet di jl raya pasar kemis, usulan koordinasi pemkab dan pengembang."
6290770,Lampu Jalan Mati Di Perumahan Villa Halaban Indah,"Lampu jalan mati di perumahan villa halaban indahassalamu'alaikum wrwbkami warga komplek perumahan villa halaban indah ingin melaporkan, ada - 2 buah lampu jalan di dalam komplek perumahan villa halaban indah, panyakalan, kec. kubung yang mati bermasalah.lampu yang mati dekat blok g dan lampu jalan musholla, yang mengakibatkan mushola jadi gelap.mohon bantuan dinas terkait untuk perbaikan lampu tersebut.untuk lebih jelas bisa datang dan minta keterangan sama ketua lingkungan kami.atas perhatiannya kami ucapkan terimakasih.",Infrastruktur,"Judul: Lampu Jalan Mati Di Perumahan Villa Halaban Indah
Laporan: Lampu jalan mati di perumahan villa halaban indahassalamu'alaikum wrwbkami warga komplek perumahan villa halaban indah ingin melaporkan, ada - 2 buah lampu jalan di dalam komplek perumahan villa halaban indah, panyakalan, kec. kubung yang mati bermasalah.lampu yang mati dekat blok g dan lampu jalan musholla, yang mengakibatkan mushola jadi gelap.mohon bantuan dinas terkait untuk perbaikan lampu tersebut.untuk lebih jelas bisa datang dan minta keterangan sama ketua lingkungan kami.atas perhatiannya kami ucapkan terimakasih.",medium,report,"Perumahan Villa Halaban Indah, Kec. Kubung",Lampu jalan yang mati,netral,"Lampu jalan di Villa Halaban Indah mati, mengakibatkan gelap di mushola."
6298540,Pungli Daftar Nikah Di Kua Kecamatan Tajurhalang Bogor Jawa Barat,"Saya dan calon istri saya hendak mendaftarkan pernikahan di kua kecamatan tajur halang, bogor, jawa barat. namun ketika selesai mendaftar saya dimintai uang 50 ribu rupiah untuk biaya administrasi. padahal daftar nikah di kua gratis dan hanya membayar uang 600 ribu jika akad nikah nya diluar kua. mohon di tindak.. ternyata setelah melihat review di google, di kua tajur halang banyak yang mengalami kejadian seperti saya juga.terima kasih",Administrasi,"Judul: Pungli Daftar Nikah Di Kua Kecamatan Tajurhalang Bogor Jawa Barat
Laporan: Saya dan calon istri saya hendak mendaftarkan pernikahan di kua kecamatan tajur halang, bogor, jawa barat. namun ketika selesai mendaftar saya dimintai uang 50 ribu rupiah untuk biaya administrasi. padahal daftar nikah di kua gratis dan hanya membayar uang 600 ribu jika akad nikah nya diluar kua. mohon di tindak.. ternyata setelah melihat review di google, di kua tajur halang banyak yang mengalami kejadian seperti saya juga.terima kasih",medium,complaint,"Kua Kecamatan Tajurhalang, Bogor, Jawa Barat",Pungli saat mendaftar nikah,negatif,Masyarakat mengalami pungli saat daftar nikah di kua
6299236,Jalan Berlubang,"Terpantau 21 jan 2023 jalan pedestrian masih berlubang. katanya mau diberesin loh, dijawab 14 jan 2023 (terlampir) mau diberesin sama dinas ybs, tapi tgl 21 jan 2023 masih ada lubang. sedang menunggu tanggung jawabnya. lokasi jl. ahmad yani.",Infrastruktur,"Judul: Jalan Berlubang
Laporan: Terpantau 21 jan 2023 jalan pedestrian masih berlubang. katanya mau diberesin loh, dijawab 14 jan 2023 (terlampir) mau diberesin sama dinas ybs, tapi tgl 21 jan 2023 masih ada lubang. sedang menunggu tanggung jawabnya. lokasi jl. ahmad yani.",medium,complaint,jl. ahmad yani,jalan pedestrian berlubang,negatif,Jalan pedestrian di Ahmad Yani masih berlubang meskipun janji diperbaiki.
6303907,"Apresiasi Setinggi-Tingginya Untuk Dinas Pendidikan Kab. Ketapang, Provinsi Kalimantan Barat","Saya menyampaikan rasa terimakasih yang sebesar- besarnya atas kinerja dinas pendidikan ketapang provinsi kalimantan barat yang dengan lapang hati, dengan hati yang sangat mulia serta pelayanan prima untuk kami. sukses selalu!!salam hangat",Pendidikan,"Judul: Apresiasi Setinggi-Tingginya Untuk Dinas Pendidikan Kab. Ketapang, Provinsi Kalimantan Barat
Laporan: Saya menyampaikan rasa terimakasih yang sebesar- besarnya atas kinerja dinas pendidikan ketapang provinsi kalimantan barat yang dengan lapang hati, dengan hati yang sangat mulia serta pelayanan prima untuk kami. sukses selalu!!salam hangat",low,suggestion,,"Dinas Pendidikan Kab. Ketapang, Provinsi Kalimantan Barat",positif,Masyarakat mengapresiasi kinerja dinas pendidikan.
6310531,Program Ptsl Atau Prona Di Wilayah Lampung Selatan,Untuk wilayah lampung selatan untuk tahun 2023 apakah masih ada program ptsl prona?,Pendidikan,"Judul: Program Ptsl Atau Prona Di Wilayah Lampung Selatan
Laporan: Untuk wilayah lampung selatan untuk tahun 2023 apakah masih ada program ptsl prona?",low,question,Lampung Selatan,Program Ptsl atau Prona,netral,Pengajuan pertanyaan tentang program Ptsl atau Prona di Lampung Selatan tahun 2023
6312076,Sebagian Warga Oku Kesulitan Mendapat Air Bersih,"Selamat siang bpk ibu admin lapor.go.id. di sini saya ingin menyampaikan laporan pengaduan terhadap pdam tirtaraja kab. oku baturaja (ig: pdamtirtaraja) dimana saya mewakili sebagian warga yg berdomisili di kab. oku, kita merasa sangat tidak nyaman dg pelayanan pdam oku pusat, karena kesulitan utk mendapatkan air bersih. padahal lokasi kami tepat berada di pusat jantung kota, dimana menara pdam terlihat sangat dekat, tapi sayangnya air yg mengalir tidak lancar sebulan belakangan ini. dalam sehari air cuma dialirkan 1x saja dg tempo waktu hanya 1jam, terkadang itu pun tidak keluar sama sekali. dan kalau sudah lewat sore hari air di tempat kami pasti tidak pernah keluar lagi airnya.padahal aktivitas sehari 24jam - 7jam(jam tidur) 17jam, bayangkan saja air hanya keluar 1jam dlm waktu 17 jam apakah cukup?? minimal seharusnya sehari 4 x lah utk pengaliran selama 2jam, total 8 jam dlm sehari, itu saja tidak sampai setengahnya dr 17jam. dan ada hal menarik yg lebih aneh lagi, tetangga yg bagian seberang rumah selalu keluar airnya. padahal kami masih lokasi di satu kawasan yg sama, daerah sekitaran pasar atas, pasar lama(jln sudirman, jl. haji agus salim). daerah tempat lain pun yg dekat dengan lokasi kami, masih termasuk lingkup pasar atas (seperti jl. hos. cokroaminoto, jl. akmal, jl. pahlawan kemarung, kenapa bisa selalu keluar airnya, pagi, siang dan malam lancar, tidak seperti tempat kami yg hanya keluar 1x 1jam dlm 1hari. kami merasa kecewa dan tidak nyaman dg pelayanan pdam oku pusat. di medsos pdam pun sudah kami kritik, kami tag ke bpk. bupati juga, tapi tetap tidak ada tindakan dan hanya membisu saja seperti menutup mata. jadi kami tidak tau lagi harus melapor ke mana lagi jika bpk. pemimpin di oku pun tidak ada kepedulian thdp masyarakat. dan utk kejadian sulit air ini pun sudah sering terulang dr tahun2 sebelumnya, habis dilapor air lancar, tapi nanti beberapa bulan kemudian mulai dipersulit lagi aliran airnya. kami mempertanyakan bagaimana kinerja pdam pusat dan tanggung jawabnya terhadap masyarakat? apakah hrs diganti dl kepemimpinan pdam pusat? padahal kewajiban kami pun bayar air setiap bulan sudah kami lakukan, jika tidak bayar 3 bulan instalasi diputus, tapi kenapa hak kami sebagai warga utk mendapat air masih susah?? ataukah kami harus membuat sumur bor satu2 per warga utk memenuhi kebutuhan air bersih kami, dan akan mengabaikan dampak terhadap lingkungan alam dengan membuat banyak sumur bor?? mohon tolong utk ditindak lanjuti laporan kami terkait hal ini agar semua warga oku tidak kesulitan air bersih lagi.",Infrastruktur,"Judul: Sebagian Warga Oku Kesulitan Mendapat Air Bersih
Laporan: Selamat siang bpk ibu admin lapor.go.id. di sini saya ingin menyampaikan laporan pengaduan terhadap pdam tirtaraja kab. oku baturaja (ig: pdamtirtaraja) dimana saya mewakili sebagian warga yg berdomisili di kab. oku, kita merasa sangat tidak nyaman dg pelayanan pdam oku pusat, karena kesulitan utk mendapatkan air bersih. padahal lokasi kami tepat berada di pusat jantung kota, dimana menara pdam terlihat sangat dekat, tapi sayangnya air yg mengalir tidak lancar sebulan belakangan ini. dalam sehari air cuma dialirkan 1x saja dg tempo waktu hanya 1jam, terkadang itu pun tidak keluar sama sekali. dan kalau sudah lewat sore hari air di tempat kami pasti tidak pernah keluar lagi airnya.padahal aktivitas sehari 24jam - 7jam(jam tidur) 17jam, bayangkan saja air hanya keluar 1jam dlm waktu 17 jam apakah cukup?? minimal seharusnya sehari 4 x lah utk pengaliran selama 2jam, total 8 jam dlm sehari, itu saja tidak sampai setengahnya dr 17jam. dan ada hal menarik yg lebih aneh lagi, tetangga yg bagian seberang rumah selalu keluar airnya. padahal kami masih lokasi di satu kawasan yg sama, daerah sekitaran pasar atas, pasar lama(jln sudirman, jl. haji agus salim). daerah tempat lain pun yg dekat dengan lokasi kami, masih termasuk lingkup pasar atas (seperti jl. hos. cokroaminoto, jl. akmal, jl. pahlawan kemarung, kenapa bisa selalu keluar airnya, pagi, siang dan malam lancar, tidak seperti tempat kami yg hanya keluar 1x 1jam dlm 1hari. kami merasa kecewa dan tidak nyaman dg pelayanan pdam oku pusat. di medsos pdam pun sudah kami kritik, kami tag ke bpk. bupati juga, tapi tetap tidak ada tindakan dan hanya membisu saja seperti menutup mata. jadi kami tidak tau lagi harus melapor ke mana lagi jika bpk. pemimpin di oku pun tidak ada kepedulian thdp masyarakat. dan utk kejadian sulit air ini pun sudah sering terulang dr tahun2 sebelumnya, habis dilapor air lancar, tapi nanti beberapa bulan kemudian mulai dipersulit lagi aliran airnya. kami mempertanyakan bagaimana kinerja pdam pusat dan tanggung jawabnya terhadap masyarakat? apakah hrs diganti dl kepemimpinan pdam pusat? padahal kewajiban kami pun bayar air setiap bulan sudah kami lakukan, jika tidak bayar 3 bulan instalasi diputus, tapi kenapa hak kami sebagai warga utk mendapat air masih susah?? ataukah kami harus membuat sumur bor satu2 per warga utk memenuhi kebutuhan air bersih kami, dan akan mengabaikan dampak terhadap lingkungan alam dengan membuat banyak sumur bor?? mohon tolong utk ditindak lanjuti laporan kami terkait hal ini agar semua warga oku tidak kesulitan air bersih lagi.",medium,complaint,Kab. Oku Baturaja,Pelayanan PDAM Tirtaraja,negatif,Warga Kab. Oku kesulitan mendapatkan air bersih.
6320200,Kabel Internet,Internet memang penting tapi lebih bagusnya mohon ditata pemasangan kabel internet yg ada di tiang besi jadi biar indah dimata dan aman bagi masyarakat. untuk dinas kominfo dinas terkait lain mohon dipantau juga sudah berijin belum serta sudah kulo nuwun ke rt rw setempat serta ke warga yg rumahnya depan tiang belum.. jangan sampai asal pasang kabel atau belum ijin main pasang saja. terima kasih,Infrastruktur,"Judul: Kabel Internet
Laporan: Internet memang penting tapi lebih bagusnya mohon ditata pemasangan kabel internet yg ada di tiang besi jadi biar indah dimata dan aman bagi masyarakat. untuk dinas kominfo dinas terkait lain mohon dipantau juga sudah berijin belum serta sudah kulo nuwun ke rt rw setempat serta ke warga yg rumahnya depan tiang belum.. jangan sampai asal pasang kabel atau belum ijin main pasang saja. terima kasih",medium,suggestion,,pemasangan kabel internet,netral,Saran untuk memperbaiki pemasangan kabel internet
6322246,Penambahan Pompa Air,"Dengan hormat kepada jajaran pemkab lamongan ataupun pemprov jatim mengingat babat merupakan lokasi yang cukup strategis menghubungkan 3 kabupaten mohon bantuannya untuk menambah atau menyiagakan pompa air tambahan untuk kelurahan atau kecamatan babat, karena sekarang hujan intensitas rendah pun sangat cepat menimbulkan banjir seperti di jalan gotong royong, jalan kartini, sawo dll. mohon untuk ditindaklanjuti segera sebagai langkah preventif mencegah banjir yang lebih besar dan meluas. terima kasih",Infrastruktur,"Judul: Penambahan Pompa Air
Laporan: Dengan hormat kepada jajaran pemkab lamongan ataupun pemprov jatim mengingat babat merupakan lokasi yang cukup strategis menghubungkan 3 kabupaten mohon bantuannya untuk menambah atau menyiagakan pompa air tambahan untuk kelurahan atau kecamatan babat, karena sekarang hujan intensitas rendah pun sangat cepat menimbulkan banjir seperti di jalan gotong royong, jalan kartini, sawo dll. mohon untuk ditindaklanjuti segera sebagai langkah preventif mencegah banjir yang lebih besar dan meluas. terima kasih",medium,suggestion,kelurahan/kecamatan babat,pompa air tambahan,negatif,Mohon penambahan pompa air di Babat untuk mencegah banjir
6329920,Tempat Pembuangan Sampah Ilegal Di Pinggir Jalan Meresahkan Warga,"Masyarakat yang sering melewati jalan jagarayu, ciracas kota serang yang arah menuju perumahan sepang mountain residence sering sekali buang sampah sembarang di sepanjang jalan tersebut, sehingga terjadi penumpukan sampah yang sama sekali tidak akan diangkut oleh dlh kota serang. mohon untuk dlh kota serang untuk bisa membersihkan area tersebut dan beri himbauan atau peringatan berupa spanduk atau semacamnya untuk tidak buang sampah disepanjang jalan tersebut agar masyarakat paham tidak buang sampah sembarangan lagi. terima kasihlokasi tempat pembuangan sampah ilegal: jalan jagarayu ciracas, kota serang - banten. lokasinya dijalan menuju perumahan sepang mountain residence, nanti akan terlihat sampah berserakan disepanjang jalan tersebut",Lingkungan,"Judul: Tempat Pembuangan Sampah Ilegal Di Pinggir Jalan Meresahkan Warga
Laporan: Masyarakat yang sering melewati jalan jagarayu, ciracas kota serang yang arah menuju perumahan sepang mountain residence sering sekali buang sampah sembarang di sepanjang jalan tersebut, sehingga terjadi penumpukan sampah yang sama sekali tidak akan diangkut oleh dlh kota serang. mohon untuk dlh kota serang untuk bisa membersihkan area tersebut dan beri himbauan atau peringatan berupa spanduk atau semacamnya untuk tidak buang sampah disepanjang jalan tersebut agar masyarakat paham tidak buang sampah sembarangan lagi. terima kasihlokasi tempat pembuangan sampah ilegal: jalan jagarayu ciracas, kota serang - banten. lokasinya dijalan menuju perumahan sepang mountain residence, nanti akan terlihat sampah berserakan disepanjang jalan tersebut",medium,report,"jalan jagarayu ciracas, kota serang - banten",tempat pembuangan sampah ilegal,negatif,Warga laporkan penumpukan sampah di jalan jagarayu ciracas
6332548,Pembakaran Sampah Mengakibatkan Polusi Udara Di Daerah Padat Penduduk.,"Saya tidak tahu harus lapor berapa kali utk masalah ini.daerah jl veteran gg syukur 6 selalu saja ada pembakaran sampah yg di lakukan oleh tukang sampah yg membawa sampah dari luar daerah gg syukur 6 untuk di bakar di daerah sini.dampak dari pembakaran sampah tersebut mengakibatkan ada beberapa warga yg sudah ispa, dan bermasalah pernapasan nya.percuma saja setiap ada org pemda yg datang tegur, karena besok tetap akan di lakukan lg.bahkan rt sekitar saja membiarkan hal ini terus terjadi.saya hrs lapor berapa kali br ada tindakan tegas? hrs smpai jatuh korban meninggal dl kah? tolog dong kasi th pelaku nya kalo mau proses sampah jangan di dlm gang, cari tempat lain atau pembuangan umum di daerah lain!",Lingkungan,"Judul: Pembakaran Sampah Mengakibatkan Polusi Udara Di Daerah Padat Penduduk.
Laporan: Saya tidak tahu harus lapor berapa kali utk masalah ini.daerah jl veteran gg syukur 6 selalu saja ada pembakaran sampah yg di lakukan oleh tukang sampah yg membawa sampah dari luar daerah gg syukur 6 untuk di bakar di daerah sini.dampak dari pembakaran sampah tersebut mengakibatkan ada beberapa warga yg sudah ispa, dan bermasalah pernapasan nya.percuma saja setiap ada org pemda yg datang tegur, karena besok tetap akan di lakukan lg.bahkan rt sekitar saja membiarkan hal ini terus terjadi.saya hrs lapor berapa kali br ada tindakan tegas? hrs smpai jatuh korban meninggal dl kah? tolog dong kasi th pelaku nya kalo mau proses sampah jangan di dlm gang, cari tempat lain atau pembuangan umum di daerah lain!",high,complaint,jl veteran gg syukur 6,pembakaran sampah,negatif,Pembakaran sampah mengakibatkan polusi udara dan masalah kesehatan
6337267,Masyarakat Membuang Sampah Di Depan Sdn 08 Pontianak Selatan,"Selama in masyarakat (supir-supir kendaraan pasar flamboyan dan hotel-hotel sekitar sekolah membuang sampah sembarangan di depan sekolah,walaupun selama ini sekolah sudah bekerja bakti setiap hari jumat dan ada memasang larangan di depan sekolah tapi masyarakat tidak mengindahkannya, dan sekolah kami beralamat di jalan gajahmada gg. suez permai (tepat di belakang hotel haris-pontianak)",Lingkungan,"Judul: Masyarakat Membuang Sampah Di Depan Sdn 08 Pontianak Selatan
Laporan: Selama in masyarakat (supir-supir kendaraan pasar flamboyan dan hotel-hotel sekitar sekolah membuang sampah sembarangan di depan sekolah,walaupun selama ini sekolah sudah bekerja bakti setiap hari jumat dan ada memasang larangan di depan sekolah tapi masyarakat tidak mengindahkannya, dan sekolah kami beralamat di jalan gajahmada gg. suez permai (tepat di belakang hotel haris-pontianak)",medium,report,"jalan gajahmada gg. suez permai, Pontianak Selatan",masyarakat membuang sampah sembarangan di depan sekolah,negatif,Masyarakat membuang sampah di depan sekolah
6337903,Desakan Pembangunan Stadion Sultan Hasanuddin,"Dengan berbagai kegiatan yang akan dilakukan di stadion sultan hasanuddin, sebagai markas psm makassar tersebut, maka penting untuk pembangunannya dimulai tahun 2023. hal ini juga untuk memastikan bahwa semua lokasi yang telah direncanakan untuk berbagai kegiatan dapat tercapai dengan baik dan waktu yang tepat. stadion ini berlokasi di kota makassar, yang merupakan satu-satunya kota di provinsi sulawesi selatan yang dapat menampung jumlah pengunjung yang besar. hal ini membuat stadion ini menjadi salah satu destinasi terpenting bagi masyarakat makassar. dengan lokasi yang berdekatan dengan bandara, stadion sultan hasanuddin ini menjadi sumber daya yang penting bagi kota makassar",Infrastruktur,"Judul: Desakan Pembangunan Stadion Sultan Hasanuddin
Laporan: Dengan berbagai kegiatan yang akan dilakukan di stadion sultan hasanuddin, sebagai markas psm makassar tersebut, maka penting untuk pembangunannya dimulai tahun 2023. hal ini juga untuk memastikan bahwa semua lokasi yang telah direncanakan untuk berbagai kegiatan dapat tercapai dengan baik dan waktu yang tepat. stadion ini berlokasi di kota makassar, yang merupakan satu-satunya kota di provinsi sulawesi selatan yang dapat menampung jumlah pengunjung yang besar. hal ini membuat stadion ini menjadi salah satu destinasi terpenting bagi masyarakat makassar. dengan lokasi yang berdekatan dengan bandara, stadion sultan hasanuddin ini menjadi sumber daya yang penting bagi kota makassar",medium,suggestion,"kota makassar, provinsi sulawesi selatan",pembangunan stadion sultan hasanuddin,positif,Pengusulan untuk memulai pembangunan stadion Sultan Hasanuddin tahun 2023.
6339436,Jalan Pantura Cikampek S.d. Karawang Rusak,"Mohon bantuannya jalan pantura Cikampek s.d. Karawang begitupun sebaliknya Karawang s.d. Cikampek dan juga di apill johar banyak sekali jalan berlubang dan dikhawatirkan akan menimbulkan korban jiwa. Bersama ini disampaikan dengan hormat agar dapat segera diperbaiki, mengingat masyarakat juga membayar pajak, baik Pajak Penghasilan maupun PBB P2, mohon dengan sangat disegerakan untuk diperbaiki, terima kasih.",Infrastruktur,"Judul: Jalan Pantura Cikampek S.d. Karawang Rusak
Laporan: Mohon bantuannya jalan pantura Cikampek s.d. Karawang begitupun sebaliknya Karawang s.d. Cikampek dan juga di apill johar banyak sekali jalan berlubang dan dikhawatirkan akan menimbulkan korban jiwa. Bersama ini disampaikan dengan hormat agar dapat segera diperbaiki, mengingat masyarakat juga membayar pajak, baik Pajak Penghasilan maupun PBB P2, mohon dengan sangat disegerakan untuk diperbaiki, terima kasih.",high,complaint,jalan pantura Cikampek s.d. Karawang dan sebaliknya,jalan berlubang,negatif,"Jalan Pantura rusak berat, menimbulkan bahaya"
6341632,Jalan Utama Amblas Tidak Kunjung Diperbaiki,Kepada pemerintah kabupaten pesawaran dan pejabat terkait.ini jalan atau jembatan amblas sudah lebih dari 3 bulan tapi belum juga diperbaiki! lokasi sebelum kolam renang pesawaran dari arah kedondong.semua pejabat pemerintah kabupaten pesawaran setiap hari lewat dan melihat ada tulisan warning jalan tersebut amblas tapi mau sampai kapan itu hanya jadi warning? apakah menunggu korban jiwa terlebih dahulu baru akan diperbaiki? atau menunggu amblasnya sampai seluruhnya baru akan diperbaiki?jalan tersebut tikungan terhalang pohon bambu dan parahnya tidak ada lampu penerangan.tolong segera diperbaiki dan itu jalan mohon dilihat apa ada lampu jalannya? ini jalan utama sangat amat disayangkan kurangnya perhatian dari pemkab pesawaran!,Infrastruktur,"Judul: Jalan Utama Amblas Tidak Kunjung Diperbaiki
Laporan: Kepada pemerintah kabupaten pesawaran dan pejabat terkait.ini jalan atau jembatan amblas sudah lebih dari 3 bulan tapi belum juga diperbaiki! lokasi sebelum kolam renang pesawaran dari arah kedondong.semua pejabat pemerintah kabupaten pesawaran setiap hari lewat dan melihat ada tulisan warning jalan tersebut amblas tapi mau sampai kapan itu hanya jadi warning? apakah menunggu korban jiwa terlebih dahulu baru akan diperbaiki? atau menunggu amblasnya sampai seluruhnya baru akan diperbaiki?jalan tersebut tikungan terhalang pohon bambu dan parahnya tidak ada lampu penerangan.tolong segera diperbaiki dan itu jalan mohon dilihat apa ada lampu jalannya? ini jalan utama sangat amat disayangkan kurangnya perhatian dari pemkab pesawaran!",high,complaint,sebelum kolam renang pesawaran dari arah kedondong,jalan utama yang amblas dan tidak ada lampu penerangan,negatif,"Jalan amblas, berbahaya, belum diperbaiki"
